ID lon lat lon_min lon_max lat_min lat_max
Austin  -97.7166666666667 30.3745 -100 -94 28.5 32.5
Atlanta  -84.2833333333334 33.859 -86.3 -82.3 35.9 31.9
Baltimore -76.6333333333334 39.267 -78.6 -74.6 37 41
Portland -122.716666666667 45.4667 -125 -120 43.5 47.5
NewYork -73.8916666666667 40.742 -75.9 71.9 38.7 42.7
LosAngeles  -118.225 33.967 -120.23 -116.2 31.9 35.9 
Chicago -87.7333333333334 41.874 -89.73 -85.73 39.87 43.87
Eastern_Florida -81.3833333333334 28.56 -83.4 -79.4 26.5 30.5
Dallas_FortWorth -96.75 32.95 -98.75 -94.75 30.95 33 
SanFransico_SanJose -122.358333333333 37.8 -124.5 -120.35 35.8 40
Houston  -95.5000000000001 29.7833333333333 -97.5 -93.5 27.8 31.8 
Washington -77.0333333333334 38.9416666666666 -79 -75 37 41
Phoenix -112.108333333333 33.525 -114 -110 32.5 35.5
Philadelphia -75.1666666666667 39.9833333333333 -77 -73 37.9 41
LasVegas -115.175 36.1333333333333 -117 -113 34 38
Seattle -122.258333333333 47.625 -124 -120 45.5 49.5
Denver -104.95 39.7916666666667 -107 -103 37.8 42
Detroit -83.0583333333333 42.4416666666667 -85 -81 40.4 44.4
Boston -71.0916666666667 42.3666666666667 -73 -69 40 44
SaltLakeCity -111.941666666667 40.6416666666667 -114 -108 38.6 42.6
Sacramento -121.4 38.575 -123.4 -119.4 36.5 40.5
SanAntonio -98.55 29.4666666666667 -100.5 -96.5 27.5 31.5
SanDiego -116.983333333333 32.6083333333333 -119 -115 30.6 34.6
Minneapolis  -93.2333333333334 45.0166666666666 -95 -91 43 47
Orlando -81.3833333333334 28.5666666666666 -83 -79 26.5 30.5
